_source,job_title,job_level,job_dimension,skills_filtered,job_skills,salary_min,salary_max,salary_mid
Consulting,Consultant in Adult Psychiatry *with a £20K Support Package*,Mid senior,Leadership,"['psychiatry', 'mental health', 'clinical leadership', 'patient care', 'research', 'quality improvement', 'audit', 'service development', 'teaching', 'presentation', 'leadership', 'flexibility', 'driving licence', 'criminal record check', 'approved clinician status', 'specialist register', 'uk professional registration']","Psychiatry, Mental health, Clinical leadership, Acute care, Hospital admission, National standards, MDT, Patient care, Crisis Pathway, Inpatient admission wards, Clinical Excellence Awards, Research, Quality Improvement, Audit, Service development, Teaching, Junior medical staff supervision, Presentation skills, Effective team working, Leadership, Flexibility, Driving Licence, Criminal record check, GMC register, Section 12(2) Approved, Mental Health Act (MHA), Approved Clinician Status, Specialist Register, CCST, UK professional registration",20000.0,20000.0,20000.0
Consulting,Consultant in Diabetes & Endocrinology-*Welcome Bonus-£20K*,Mid senior,Leadership,"['gmc registration', 'mrcp', 'clinical audit', 'clinical governance', 'research', 'appraisal']","Diabetes, Endocrinology, General Medicine, GMC Registration, MRCP, Clinical Audit, Clinical Governance, Teaching and Training Skills, Research, Appraisal Techniques",20000.0,20000.0,20000.0
Consulting,Associate Clinical Consultant - Syracuse,Mid senior,Teamwork,"['rn license', 'teamwork', 'communication', 'advocacy']","RN License, Impella® product portfolio, Clinical training, Medical device industry regulations, Patient outcomes, Medical staff interaction, Clinical demos, Cath Lab, Cardiac ICU, Tech patient support, Hands on Impella support, Teamwork, Interpersonal skills, Advocacy, Per diem, ECMO, Fieldbased experience, Oncall, Travel (up to 50%), Compensation: $100000  $125000, Benefits: health insurance savings plan pension plan disability plan vacation pay sick time holiday pay work personal and family time off",125000.0,125000.0,125000.0
Consulting,Sales Consultant,Mid senior,Negotiation,"['sales', 'customer service', 'consultative selling', 'communication', 'negotiation', 'closing', 'selfmotivation', 'results orientation', 'bilingual spanishenglish', 'medical insurance', 'health savings account hsa', 'telehealth', 'dental insurance', 'vision insurance', 'parental leave', 'paid volunteer time', 'tuition reimbursement']","Sales, Customer service, Consultative selling, Product knowledge, Communication, Negotiation, Closing skills, Selfmotivation, Results orientation, College degree or equivalent, Bilingual (Spanish/English), Medical insurance, Flexible spending account (FSA), Health savings account (HSA), Uncapped commission pay, Telehealth, Prescription drug insurance, Dental insurance, Vision insurance, Life insurance / AD&D $50000 coverage, Voluntary employee & spousal life insurance, Shortterm disability insurance (STD), Longterm disability insurance (LTD), Parental leave, Voluntary critical illness insurance, Voluntary accident insurance, Teammate assistance plan, Paid volunteer time, 401k with 50% match up to 6% of annual pay, Tuition reimbursement, $150000  $150000 annual compensation",150000.0,150000.0,150000.0
Consulting,Senior Solution Consultant - Immersive Commerce Services | Store No8,Mid senior,Collaboration,"['cloud services', 'authentication', 'communication', 'collaboration', 'fastpaced environment', 'continuous improvement', 'industry trends', 'strong communication', 'competitive pay', '401k match', 'pto']","Solutions Engineering, Video Game Engines, Backend and Frontend Infrastructure Services, RESTful APIs, Cloud Services, Authentication, Encryption, Security Protocols, Game Partners, Communication Skills, Collaboration, Complex Projects, Fastpaced Environment, Continuous Improvement, Industry Trends, Gaming Ecosystem, Bachelor's or Master's in Computer Science or Related Field, 8+ Years Experience in Solutions Engineering, Expertise in Video Game Engines, Expertise in Backend and Frontend Infrastructure Services, Expertise in Live Services, Strong Communication Skills, Collaboration with Diverse Teams, Successful Project Delivery, Innovative Mindset, Passion for Gaming, Understanding of Gaming Challenges, Competitive Pay, Incentive Awards, 401(k) Match, Stock Purchase Plan, Paid Maternity and Parental Leave, PTO, Health Plans, Education Benefits, Annual Salary Range: $96000.00$186000.00",186000.0,186000.0,186000.0
Consulting,"Business Development Executive, North America Strategic Life Science Accounts",Mid senior,Business Development & Customer Acquisition,"['business development', 'sales strategy', 'sales planning', 'market analysis', 'customer relationship management', 'crossfunctional collaboration', 'bachelors degree', 'life sciences', 'business', 'advanced degree', 'mba', 'phd', 'digital transformation', 'analytical mindset', 'datadriven decision making', 'communication', 'negotiation', 'presentation', 'equal employment opportunity']","Business Development, Sales Strategy, Sales Planning, Market Analysis, Customer Relationship Management, Crossfunctional Collaboration, Market Insights, Bachelor's Degree, Life Sciences, Business, Advanced Degree, MBA, PhD, 5+ years of Experience, Complex Solutions, Digital Transformation, Business Process Outsourcing, SaaS Applications, Analytical Mindset, DataDriven Decision Making, Travel for Client Meetings, Communication, Negotiation, Presentation, Salary Range: $112300.00  $149700.00 + commissions, Iron Mountain Values and Code of Ethics, Equal Employment Opportunity",149700.0,149700.0,149700.0
Consulting,Recruitment Consultant,Mid senior,Organization,"['recruitment', 'sourcing', 'linkedin', 'administration', 'client feedback', 'client relationship building', 'networking', 'selfmotivation', 'organization', 'ambition', 'hardworking']","Recruitment, Sourcing, LinkedIn, Administration, CV Editing/ Formatting, Candidate Preparation, Initial Interviews, Client Feedback, Internal Database Management, Job Promotion, Client Relationship Building, Job Posting, Networking, SelfMotivation, Experience in Recruitment, Experience in Bringing on New Business, Organization, Ambition, Professional Telephone Manner, Hardworking, Salary Between £25000  £35000, Commission Package, Staff Benefits, OTE in Excess of £80000",80000.0,80000.0,80000.0
Consulting,Consulting Manager - Finance and Accounting Advisory Services,Mid senior,MS Office,"['accounting', 'finance', 'business', 'excel', 'powerpoint', 'financial planning', 'budgeting', 'financial reporting', 'accounting standards', 'technical accounting', 'us gaap', 'ifrs', 'cpa license', 'equal employment opportunity', 'nondiscrimination', 'pto', 'flexible work arrangements', 'wellness program', 'parental leave', 'paid holidays']","Accounting, Finance, Business, Excel, PowerPoint, Financial Planning, Budgeting, Financial Reporting, SEC Requirements, Accounting Research, Accounting Standards, Financial Audit, Professional Accounting, Technical Accounting, US GAAP, IFRS, ASC 606 revenue recognition, Lease transactions, Purchase Accounting, CPA License, Equal Employment Opportunity, Nondiscrimination, Pay Range: $105000  $165000, Medical dental vision, PTO, Flexible work arrangements, 401K with Profit Sharing, Wellness program, Parental leave, Paid holidays",165000.0,165000.0,165000.0
Consulting,Solar Sales Consultant,Mid senior,MS Office,"['solar sales', 'sales', 'customer management', 'revenue generation', 'contract negotiation', 'outside sales', 'account executive', 'flexible schedule', 'salesforce', 'microsoft office', 'phone communication', 'communication', 'detailorientation', 'punctuality', 'pto', 'career opportunities', 'equal employment opportunity']","Solar Sales, Sales, Customer Management, Revenue Generation, Contract Negotiation, Proposal Presentation, Residential Solar Contracts, Discovery Consultation, Design & Finance Team Coordination, Customer Qualification, Finance Products Consultation, Agreement Execution, Sales Competencies Development, Outside Sales, Account Executive, Complex Proposal Presentation, Flexible Schedule, CloudBased Software, Salesforce, Microsoft Office Suite, Basic Computer Troubleshooting, FacetoFace Communication, Phone Communication, Written Communication, Professional Organization, DetailOrientation, Punctuality, LongTerm Commitment, OTE $60k70k, PTO, Health Dental & Vision Package, Career Opportunities, Equal Employment Opportunity, Military and Veterans Employment Support",60000.0,60000.0,60000.0
Consulting,Customer Service Advisor,Mid senior,Teamwork,"['customer service', 'telephone communication', 'email communication', 'fastpaced environment', 'teamwork', 'training', 'progression', 'benefits']","Customer service, Telephone communication, Email communication, Webchat, Fastpaced environment, Teamwork, Salary of £24500+, Manufacturing business, Training, Progression, Development plan, Central location, Transport links, Benefits",24500.0,24500.0,24500.0
Consulting,Customer Advisor,Mid senior,Problem Solving,"['customer service', 'communication', 'empathy', 'problem solving', 'training program', 'character', 'positivity', 'shift work']","Customer service, Contact center experience, Communication skills, Empathy, Problemsolving skills, Training program, Character, Positivity, Caring attitude, Shift work, Hours: 06:3022:00 365 days a year including weekends, Salary: £24187.50 with a pay review each year, Leave: 33 days per year (25 annual leave 8 in lieu for bank holidays worked), Annual bonus scheme (up to £1500 per annum), Pension scheme (company will double contribution up to 15%), Sharesave program, 10% monthly discount with Busy Bee Nurserys, Oneweek free childcare, Dedicated training and development, Family friendly policies",24187.5,24187.5,24187.5
Consulting,"Junior Quantitative Developer - Multi Strategy Fund - Up to £75,000 + Substantial Bonus",Associate,Data & Analytics,"['python', 'statistics', 'computer science', 'portfolio management']","Python, Numpy, Pandas, Statistics, Financial Data, Computer Science, STEM Degree, FX Trading, Futures Trading, Quantitative Trading, Quant Research, Portfolio Management, Research Projects",75000.0,75000.0,75000.0
Consulting,Service Advisor,Mid senior,Retail & Service,"['service advisor', 'customer service', 'communication', 'sales', 'upselling', 'prospecting', 'automotive industry']","Service Advisor, Customer Service, Communication, Sales, Upselling, Prospecting, Workshop Management, Prestige Dealership Experience, Automotive Industry Knowledge, Working Days: MonFri 8am to 5.30pm Saturday mornings on a rota, Salary: £25k basic dependent on experience and ability £31k+OTE",31000.0,31000.0,31000.0
Consulting,Deal Advisory – Manager to Director 100k+,Mid senior,MS Office,"['cfa', 'finance', 'commerce', 'excel', 'financial modelling', 'business development']","CFA, CA, Finance, Commerce, Excel, Corporate advisor, Chartered Accounting, Financial Modelling, Business Development, Project Finance, Restructuring, M&A transactions",100000.0,100000.0,100000.0
Consulting,"Regional Vice President, Strategic Staffing Sales",Mid senior,Negotiation,"['marketing strategies', 'advertising', 'social media', 'networking', 'negotiation']","MSP/VMS Staffing Sales experience, Marketing strategies, Client base growth, MSP opportunities, Marketing of large scale services, Healthcare facilities, Direct contact, Advertising, Social media, Professional conference attendance, Networking, Client facing skills, Sales teamwork, Negotiation skills, Relentless drive, CSuite leader mentorship, 100k+ base salary, Uncapped commissions",100000.0,100000.0,100000.0
Consulting,Strategic Account Manager,Associate,Data & Analytics,"['consultative sales', 'technical aptitude', 'problem solving', 'data analysis', 'root cause analysis', 'sales cycle management', 'time management', 'autonomy', 'selfdirection', 'flexibility', 'personalization', 'wellbeing support', 'travel', 'equal opportunity employer', 'diversity and inclusion']","SaaSbased architectures, SASE technology, Complex solutions, Value selling, Consultative sales techniques, Technical aptitude, Problemsolving, Data analysis, Root cause analysis, Channelcentric gotomarket approach, Sales cycle management, Structured sales process, Holistic problemsolving, Time management, Autonomy, Selfdirection, Flexibility, Choice, Personalization, Wellbeing support, Growth and development, Travel, Reasonable accommodations for individuals with disabilities, Equal opportunity employer, Diversity and inclusion, Salary range: $251900/yr to $346400/yr, Benefits: restricted stock units bonus employee benefits",346400.0,346400.0,346400.0
Consulting,Automotive Service Advisor / Writer | Up to $80k* & Weekends Off | Wake Forest,Associate,Teamwork,"['customer service', 'automotive repair', 'vehicle maintenance', 'communication', 'teamwork', 'problem solving', 'sales', 'inventory management', 'microsoft office', 'vehicle inspection', 'work order processing', 'customer relations', 'team leadership', 'time management', 'physical stamina', 'ability to work in a fastpaced environment', 'high school diploma or equivalent', 'drivers license', 'clean driving record']","Customer service, Automotive repair, Vehicle maintenance, Communication, Teamwork, Problemsolving, Sales, Windowsbased computer software, Automotive store applications, Part ordering, Inventory management, Microsoft Office Suite, Auto repair diagnostics, Vehicle inspection, Work order processing, Warranty processing, Customer relations, Team leadership, Time management, Physical stamina, Ability to work in a fastpaced environment, High school diploma or equivalent, Driver's license, Clean driving record",80000.0,80000.0,80000.0
Consulting,Business Analyst//Pay rate: $36.74/hr,Associate,Data & Analytics,"['business analyst', 'technical writing', 'data collection', 'data analysis', 'reporting', 'forecasting', 'requirements documentation']","Business Analyst Experience, Technical Writing Experience, Data Collection, Data Analysis, Reporting, Enhancement Recommendations, Forecasting, Business Needs Analysis, User Needs Analysis, Requirements Documentation, Technical Business System Solutions Design, Process Change Management, Integration of New Processes, Communication of Changes, MS Office Suite Proficiency (Excel Visio PowerPoint Project Word), UI/UX Experience",76419.2,76419.2,76419.2
Consulting,Associate Consultant - Entry Level,Associate,Business Development & Customer Acquisition,"['recruitment', 'client relationship management', 'business development', 'networking', 'sourcing', 'headhunting', 'database management', 'social media', 'linkedin', 'job boards', 'referrals', 'communication', 'presentation', 'sales', 'negotiation', 'problem solving', 'time management', 'attention to detail', 'adaptability', 'flexibility', 'resilience', 'teamwork', 'positive attitude', 'proactive approach', 'willingness to learn', 'personal branding', 'right to work in the uk', 'competitive salary', 'hybrid working']","Recruitment, Client Relationship Management, Business Development, Networking, Sourcing, Headhunting, Database Management, Social Media, LinkedIn, Job Boards, Referrals, Communication, Presentation, Sales, Negotiation, Problem Solving, Time Management, Attention to Detail, Adaptability, Flexibility, Resilience, Teamwork, Positive Attitude, Proactive Approach, Willingness to Learn, Personal Branding, Right to Work in the UK, Competitive Salary, Year 1 OTE £38k, Year 2 OTE £50k, Year 3 OTE £80k, Hybrid Working, Early Finishes on Fridays, Individual and Team Incentives, Annual Ski Summit in Italy, Holiday Incentives, Regular Social Activities, Intensive Training Programme, Free Gym Membership, Weekly Massages, Hypnotherapy Sessions, Birthday Leave, Office Closure for Christmas Period, 4.6 Glassdoor Rating, UK's 10th Best Large Company to Work For, Highly Awarded Company",80000.0,80000.0,80000.0
Consulting,Senior Business Analyst,Mid senior,Data & Analytics,"['business analysis', 'systems analysis', 'requirements gathering', 'business case development', 'financial analysis', 'business process management', 'datadriven decision making', 'process optimization', 'project delivery', 'banking', 'fintech', 'data analysis', 'power bi', 'tableau', 'sql', 'microsoft excel', 'agile', 'business strategy', 'lean six sigma', 'cbap', 'sitting', 'walking', 'hearing', 'talking', 'lifting', 'carrying', 'pushing', 'pulling', 'fulltime', 'equal opportunity employer']","Business analysis, Systems analysis, Project ownership, Measurement and analysis, Performance excellence, Requirements gathering, Benefits realization, Business case development, Financial analysis, Business process management, Datadriven decision making, Business value realization, Process optimization, Project delivery, Deliverable product, Deliverable work, Banking, FinTech, Data analysis, Power BI, Tableau, SQL, Microsoft Excel, Agile, Business strategy, Quantitative analytics, Qualitative analytics, Market insights, Lean Six Sigma, CSPO, CBAP, CBDA, CPOA, AAC, Multifactor authentication, Standard office equipment, Sitting, Walking, Use of hands, Hearing, Talking, Lifting, Carrying, Pushing, Pulling, Moving objects, 40 hours per week, Fulltime, Exempt or nonexempt status, $91182.90 to $113978.62 annual salary, Annual bonus, Equal opportunity employer, No discrimination, Privacy commitment, Family and Medical Leave Act (FMLA), Employee Polygraph Protection Act (EPPA)",91182.9,113978.62,102580.76
Consulting,Automotive Sales Consultant (Pre-Owned),Mid senior,Teamwork,"['sales', 'consultative sales', 'presentation', 'customer service', 'communication', 'teamwork', 'retail', 'willingness to learn', 'ownership', 'health dental and vision insurance', 'paid vacation']","Sales, Consultative sales, Presentation skills, Customer service, Communication skills, Teamwork, Retail experience, Willingness to learn, Ownership, Celebrating successes, $60000  $90000 annual salary, Monthly guaranteed base with uncapped bonus potential, Health Dental and Vision Insurance, 401k with 4% company match, Paid vacation, Leadership and personal development programs, Casual dress",90000.0,90000.0,90000.0
Consulting,SYSTEMS / BUSINESS ANALYST - INHOUSE SYSTEMS INTEGRATION - £45K + PROFIT SHARE + BENEFITS,Mid senior,Data & Analytics,"['systems integration', 'data integration', 'master data management', 'hubspot', 'business process mapping', 'data mapping', 'system analysis', 'business analysis']","Systems Integration, Data Flow, Data Integration, Master Data Management, Sage Intacct, HubSpot, Business Process Mapping, Data Mapping, Global Integration, System Analysis, Business Analysis",45000.0,45000.0,45000.0
Consulting,"Senior Business Analyst - Medi-Cal Dental(Roseville, CA)",Mid senior,Analytical Thinking,"['business analyst', 'technology', 'healthcare', 'business requirements', 'client communication', 'analytical skills', 'business process reengineering', 'microsoft excel', 'sql', 'sdlc', 'configuration', 'development', 'data analysis', 'project management', 'communication', 'leadership', 'onsite work', 'equal opportunity employer']","Senior Business Analyst, Business Analyst, Technology, Healthcare, MediCal Dental, IT Projects, Business Requirements, Client Communication, Analytical Skills, Business Process Reengineering, Microsoft Excel, SQL, SDLC, Application Lifecycle Management (ALM) Tools, Computer Programming Concepts, Configuration, Development, Batch Processing, Data Analysis, Project Management, Communication Skills, Leadership Skills, OnSite Work, Hybrid Position, Commuting Distance, Video Interviews, Pay Range: $74300.00  $106100.00 per year, 401(k) Employer Match, Comprehensive Health Benefits, Educational Assistance, Leadership Development Academies, Technical Development Academies, Diversity Equity and Inclusion Workplace, Equal Opportunity Employer",106100.0,106100.0,106100.0
Consulting,Consultant in Diabetes&Endocrinology-*Welcome Bonus-£20K*,Mid senior,Retail & Service,[],"Diabetes, Endocrinology, Inpatient Care, Medical Take, Medical Rotation, Specialist Advice, Consultant of the Week, General Medical On Call Rota, General Diabetes Clinic, Specialist Diabetes Clinic, Endocrine Clinic, Transitional Clinic, Frailty Assessment, Virtual Ward Programme, Admission Avoidance Services, Dementia Friendly",20000.0,20000.0,20000.0
Consulting,"Insurance, Annuity & Financial Advisors: PreSet Appts 100k to 300k",Associate,Sales,"['financial planning', 'series 65 license', 'sales']","Financial planning, Annuity sales, Health and Life insurance license, Series 65 license, Series 7 & 66 license, ChFC designation, Clean U4 record, Microsoft Office Suite (Outlook Word Excel PowerPoint), Sales ability, Needsbased approach, Facetoface meetings, Travel (within home state)",100000.0,300000.0,200000.0
Consulting,Head of Product - Insurance - Senior Manager - Products & Platforms - Consulting,Mid senior,Problem Solving,"['product management', 'product strategy', 'product roadmap', 'market research', 'stakeholder engagement', 'strategic business objectives', 'backlog management', 'subject matter expertise', 'team management', 'resource allocation', 'budget planning', 'process optimization', 'performance reporting', 'property casualty insurance', 'life insurance', 'embedded insurance', 'product development lifecycle', 'relationship management', 'client engagement', 'sense of urgency', 'decisiveness', 'flexibility', 'influencing', 'willingness to travel', 'problem solving', 'financial services', 'medical coverage', 'dental coverage', '401k plans', 'paid time off', 'flexible vacation policy', 'paid holidays', 'wintersummer breaks', 'personalfamily care', 'leaves of absence', 'continuous learning', 'leadership development', 'coaching', 'diverse and inclusive culture']","Product Management, Product Strategy, Product Roadmap, Product Evolution, Market Research, Stakeholder Engagement, Strategic Business Objectives, OKR Definition and Tracking, Backlog Management, Feature Prioritization, Program Increment Management, Demo Facilitation, Product Review, Subject Matter Expertise, Presales Input, Postsales Feedback, ProductMarket Fit Articulation, Marketing Content Creation, Team Management, Resource Allocation, Budget Planning, Mentoring and Motivation, Process Optimization, Performance Reporting, Revenue Shaping, Property & Casualty Insurance, Life Insurance, Embedded Insurance, Product Development Lifecycle, BS/BA, 710 years of Product Management Experience, Relationship Management, Client Engagement, Vendor Collaboration, Account Team Collaboration, Energy Level, Sense of Urgency, Decisiveness, Pressure Tolerance, Flexibility, Influencing Skills, Teaming Mentality, Willingness to Travel, ProblemSolving, Client Assistance, HighPerformance Environment, Financial Services, Salary Range: $163400  $373300 (US), Salary Range: $196100  $424300 (New York City Metro Area Washington State California), Medical Coverage, Dental Coverage, Pension Plans, 401(k) Plans, Paid Time Off, Flexible Vacation Policy, Paid Holidays, Winter/Summer Breaks, Personal/Family Care, Leaves of Absence, Continuous Learning, Tools and Flexibility, Leadership Development, Coaching, Diverse and Inclusive Culture",424300.0,424300.0,424300.0
Consulting,"Insurance, Annuity & Financial Advisors: PreSet Appts 100k to 300k",Associate,Sales,['sales'],"Annuity sales, Active health and life insurance license, Series 65 license (Or Series 7 & 66 or ChFC designation), Clean U4 record, Facetoface client meetings, Microsoft Office (Outlook Word Excel PowerPoint), Travel within home state, Sales ability, Needsbased approach, Proven sales track record",100000.0,300000.0,200000.0
Consulting,"Insurance, Annuity & Financial Advisors: PreSet Appts $100k to $300k",Associate,MS Office,"['financial planning', 'series 65 license', 'microsoft office', 'outlook', 'word', 'excel', 'powerpoint', 'travel']","Annuity sales, Financial planning, Health and Life insurance license, Series 65 license, Series 7 & 66 license, ChFC designation, Clean U4 record, Needsbased approach, Microsoft Office, Outlook, Word, Excel, PowerPoint, Travel",100000.0,300000.0,200000.0
Consulting,"Insurance, Annuity & Financial Advisors: PreSet Appts $100k to $300k",Associate,Sales,"['series 65 license', 'sales', 'financial planning', 'client engagement', 'appointment scheduling', 'growth opportunities']","Health and Life insurance license, Series 65 license, Clean U4 record, Microsoft Office (Outlook Word Excel PowerPoint), Travel within home state, Sales ability, Needsbased approach, Annuity sales, Financial planning, Client engagement, Commissionbased income, Appointment scheduling, Backoffice support, Growth opportunities",100000.0,300000.0,200000.0
Consulting,"Insurance, Annuity & Financial Advisors: PreSet Appts 100k to 300k",Associate,MS Office,"['financial planning', 'series 65 license', 'sales', 'microsoft office']","Financial Planning, Annuity Sales, Health and Life Insurance License, Series 65 License, Clean U4 Record, FacetoFace Meetings, Sales Ability, NeedsBased Sales Approach, Microsoft Office Suite, Travel (Within Home State)",100000.0,300000.0,200000.0
Consulting,"Insurance, Annuity & Financial Advisors: PreSet Appts 100k to 300k",Associate,MS Office,"['financial planning', 'insurance', 'customer service', 'sales', 'microsoft office', 'outlook', 'word', 'excel', 'powerpoint', 'series 65 license', 'travel']","Financial Planning, Annuity sales, Insurance, Customer Service, Sales, Microsoft Office, Outlook, Word, Excel, PowerPoint, Series 65 license, Series 7 & 66 license, ChFC designation, Health and Life insurance license, Clean U4 record, State residency, FacetoFace meetings, Needsbased approach, Travel, Qualified clients",100000.0,300000.0,200000.0
