job_cluster,skills_filtered,job_level,job_title
Collaboration,"['care coordination', 'continuing education', 'primary care', 'dental', 'mental health', 'equal opportunity employer']",Associate,Behavioral Health Consultant (Bilingual)
MS Office,"['client management', 'crm', 'ms office suite', 'word', 'powerpoint', 'outlook', 'teams', 'excel', '401k', 'investment management', 'employee benefits', '401k', 'financial planning', 'collaboration', 'communication', 'communication', 'urgency', 'problem solving', 'community involvement', 'integrity', 'diversity', 'inclusion', 'respect', 'support']",Mid senior,Institutional Client Management Consultant
Collaboration,"['teaching', 'entrepreneurship', 'strategy', 'research', 'writing', 'leadership', 'communication', 'collaboration', 'diversity', 'inclusion', 'equity', 'accessibility', 'reasonable accommodations', 'disability', 'nondiscrimination', 'affirmative action', 'equal opportunity', 'criminal background check', 'drug screen', 'safety', 'security']",Mid senior,Assistant/Associate/Professor (Lecturer) in the Department of Entrepreneurship and Strategy
Business Development & Customer Acquisition,"['sales', 'relationship building', 'business development', 'social media', 'marketing', 'networking', 'candidate management', 'client management', 'crossselling', 'compliance', 'gdpr', 'crm', 'kpis', 'team work', 'organization', 'time management', 'confidence']",Mid senior,Senior Recruitment Consultant
Analytical Thinking,"['bachelors degree', 'sql', 'plsql', 'workflows', 'unit testing', 'integration testing', 'analytical skills', 'communication']",Mid senior,ORACLE ERP TECHNICAL CONSULTANT
MS Office,"['microsoft office', 'mortgage retail sales', 'purchase fundings', 'mortgage programs', 'verbal and written communication', 'interpersonal communication', 'sales prospecting', 'referrals', 'professional relationships', 'customer service', 'safe registration', 'nationwide mortgage licensing system nmls', 'financial responsibility', 'general financial fitness', 'credit report', 'regulatory requirements', 'reliable transportation']",Associate,Mortgage Retail Sales Consultant (SAFE)
Analytical Thinking,"['financial advising', 'financial strategies', 'financial analysis', 'investment strategies', 'financial planning', 'customer service', 'microsoft office', 'communication', 'communication', 'communication', 'analytical skills', 'problem solving', 'attention to detail', 'organization', 'finance', 'accounting', 'business administration', 'bachelors degree', 'series 65 license']",Associate,Associate Financial Advisor
Retail & Service,"['service advisor', 'customer service', 'motor dealership database software', 'job cards', 'invoices', 'vehicle records']",Mid senior,Service Advisor
Cyber Security,"['cybersecurity', 'information technology', 'infrastructure security', 'resiliency', 'data security', 'network architecture', 'user access management', 'cloud service technologies', 'application security', 'offensive security', 'defensive security', 'aws certified solutions architect', 'certified information systems security professional cissp', 'high school diploma', 'ged', 'bachelors degree', 'collaboration', 'communication', 'leadership', 'problem solving', 'risk management', 'strategic thinking']",Mid senior,"Principal Associate, Information Security Office (ISO) Consultant"
Collaboration,"['corporate law', 'contract law', 'securities law', 'business acumen', 'strategic thinking', 'communication', 'collaboration', 'juris doctor degree', 'drafting', 'negotiation', 'fastpaced environment']",Mid senior,Senior M&A Strategy Counsel
Organization,"['service advisor', 'communication', 'organization']",Mid senior,Service Advisor - Automotive Industry
Retail & Service,"['service advisor', 'upselling', 'customer service', 'motor dealership database software', 'communication', 'job cards', 'invoices', 'vehicle records']",Mid senior,Service Advisor
Cyber Security,"['sql server', 'power bi', 'business requirements gathering', 'risk assessment', 'test data', 'problem resolution', 'technical leadership', 'system analysis', 'system design', 'system testing', 'data processing', 'presentations', 'interviews', 'reports', 'correspondence', 'microsoft power bi', 'microsoft office products', 'application security']",Associate,"Business Analyst 4 - Lansing, MI - 12+ Months Contract"
Business Development & Customer Acquisition,"['talent acquisition', 'business development', 'headhunting', 'candidate screening', 'interviewing', 'sales', 'client relationship management', 'sales', 'networking', 'communication verbal and written', 'strong work ethic', 'competitive', 'resilient', 'ability to work independently and as part of a team', 'ability to work under pressure', 'ability to meet deadlines', 'proficiency in microsoft office suite', 'ability to work independently and as part of a team', 'ability to work under pressure', 'ability to meet deadlines']",Mid senior,Graduate Recruitment Consultant
Retail & Service,"['customer service', 'interior design', 'detail oriented', 'organized', 'creative problem solving', 'effective communication', 'sense of urgency']",Mid senior,"Design Consultant-Design Gallery, The Colony"
Problem Solving,"['customer service', 'technical support', 'troubleshooting', 'communication', 'telephone etiquette', 'problem solving', 'prioritization', 'time management', 'organization', 'documentation', 'escalation', 'complaint handling', 'computer literacy', 'microsoft office']",Mid senior,Technical Customer Service Advisor
Analytical Thinking,"['feasibility studies', 'recommendations', 'customer engagement', 'impact analysis', 'technical specifications', 'functional specifications', 'java', 'javascript', 'css', 'html', 'c', 'c', 'python', 'analytical skills', 'problem solving', 'attention to detail', 'fastpaced environment', 'selfmotivated', 'positive attitude', 'enthusiasm', 'willingness to learn', 'innovation', 'coaching', 'stakeholder collaboration', 'communication', 'communication', 'masters degree']",Associate,Software Consultant
MS Office,"['strategic planning', 'business planning', 'budgeting', 'forecasting', 'stakeholder management', 'financial management', 'resource allocation', 'business acumen', 'collaboration', 'communication', 'problem solving', 'analytical skills', 'microsoft office', 'project management', 'powerpoint', 'excel', 'word', 'business intelligence', 'data analysis', 'risk management', 'leadership', 'influencing', 'team management', 'coaching', 'strategic thinking']",Mid senior,Strategy Planning Manager
Retail & Service,"['customer service', 'retail sales', 'hospitality', '401k plan', 'paid time off', 'vacation', 'growth opportunities', 'paid training', 'flexible work schedule', 'concierge support', 'time management', 'communication', 'professionalism', 'clean driving record', 'background check', 'drug screen']",Mid senior,Service Advisor
Formal Qualifications & Degrees,"['medicare', 'cms', 'utilization management']",Mid senior,Physician Advisor (Utilization Management MD)
Cyber Security,"['medical', 'dental', 'vision coverage', 'paid holidays', 'high school diploma', 'automotive industry', 'parts']",Mid senior,Toyota Service Advisor
Project Management,"['business analysis', 'crystal reports', 'data warehousing', 'disaster recovery', 'microsoft office', 'networking', 'project management', 'sql', 'ssis', 'system integration', 'troubleshooting']",Mid senior,Senior IT Business Analyst-Epic Hospital Billing
Formal Qualifications & Degrees,"['leadership', 'strategic planning', 'business development', 'industry expertise', 'crossfunctional collaboration', 'data science', 'aiml', 'software development', 'business analysis', 'project management', 'technical solutions', 'bachelors degree', 'masters degree', 'consensus building', 'business cases', 'emotional intelligence', 'strategic thinking', 'passion', 'enthusiasm']",Mid senior,"Executive Director, GCOE Digital Transformation and Design Delivery"
Retail & Service,"['customer service', 'communication']",Mid senior,Senior Service Advisor
Analytical Thinking,"['cybersecurity', 'data analytics', 'risk assessment', 'internal audit', 'peoplesoft', 'oracle', 'ms office suite', 'sql', 'cisa', 'cia', 'cissp', 'communication', 'analytical skills', 'problem solving', 'critical thinking', 'confidentiality']",Mid senior,"Senior Advisor, IT Audit"
Cyber Security,"['aws', 'gcp', 'azure', 'docker', 'kubernetes', 'automation', 'computer science', 'mis', 'communication']",Associate,Prisma Cloud - Extended Expertise Consultant
Cyber Security,"['presales', 'electrical engineering', 'scada', 'asset management', 'cybersecurity']",Associate,Ecostruxure Automation Expert Regional Consultant
Attention to Detail,"['tax planning', 'client relationship management', 'stakeholder engagement', 'attention to detail', 'problem solving', 'teamwork and collaboration', 'flexible work arrangements']",Mid senior,Senior consultant
Business Development & Customer Acquisition,"['business development', 'client relations', 'candidate sourcing', 'recruitment', 'social media marketing', 'networking', 'communication', 'relationship building', 'teamwork']",Mid senior,Senior Recruitment Consultant
MS Office,"['tax preparation', 'tax audit support', 'tax planning', 'accounting', 'business tax returns', 'medical coverage', '401k retirement savings plan', 'employee stock purchase plan']",Mid senior,Block Advisors Tax Advisor
Project Management,"['renewable energy', 'project management', 'feasibility studies', 'business development', 'client relationships', 'thought leadership', 'microsoft office', 'python', 'report writing', 'english communication', 'private medical insurance', 'annual leave', 'coaching and mentoring']",Mid senior,Senior Consultant (PV)
Attention to Detail,"['customer service', 'communication', 'teamwork', 'automotive', 'sales', 'scheduling', 'spanish', 'problem solving', 'attention to detail', 'active listening']",Mid senior,Auto Service Advisors - BMW of Fort Walton Beach
Formal Qualifications & Degrees,"['microsoft office', 'communication', 'customer service', 'active listening', 'adaptability', 'crm', 'english fluency', 'sales', 'high school diploma', 'typing', 'basic math', 'computer proficiency', 'phone etiquette', 'team orientation', 'bachelors degree']",Mid senior,Inbound Customer Advisor
Formal Qualifications & Degrees,"['automotive industry', 'consulting services', 'dealership management', 'sales management', 'parts management', 'service management', 'high school diploma', 'bachelors degree', 'valid drivers license', 'good driving record', 'video conferencing', 'remote work', 'company cell phone', 'laptop', 'medical insurance', 'dental insurance', 'vision insurance', 'life insurance', 'health savings account', '401k matching', 'paid vacation', 'paid holidays', 'referral bonuses', 'professional development', 'training', 'promotion opportunities']",Mid senior,Parts Manager – Service Manager – Service Advisor
Time Management,"['customer service', 'organization', 'multitasking', 'time management', 'fastpaced environment', 'insurance', 'estimating systems', 'ccc one', 'mitchell', 'audatex']",Associate,Service Advisor
Project Management,"['data protection', 'privacy', 'compliance', 'risk management', 'communication', 'communication', 'multitasking', 'project management']",Mid senior,Senior Privacy Compliance Consultant
MS Office,"['salesmanship', 'ccc one', 'microsoft office', 'organization', 'time management', 'drivers license']",Mid senior,Collision Service Advisor
Analytical Thinking,"['insurance', 'planning', 'budgeting', 'forecasting', 'performance measurement', 'project management', 'analytical skills', 'problem solving', 'critical thinking', 'strong communication', 'motivation', 'teamwork', 'leadership', 'team management', 'ability to work independently']",Mid senior,Senior Manager-Financial Accounting and Advisory Services- Insurance- Assurance
Retail & Service,"['customer service', 'retail sales', 'hospitality', 'product offerings', 'technician scheduling', 'concierge support', 'time management', 'communication', 'professional appearance', 'clean driving record', 'background check', 'drug screen']",Mid senior,Service Advisor
Analytical Thinking,"['legal research', 'legal analysis', 'technology', 'privacy', 'negotiation', 'drafting', 'policy development', 'planning', 'implementation', 'jd degree', 'bar membership', 'contracts', 'real estate', 'intellectual property', 'cybersecurity', 'data protection', 'conflict resolution', 'mediation', 'negotiation', 'due diligence', 'compliance', 'regulatory affairs', 'risk management', 'corporate governance', 'ma', 'finance', 'accounting', 'economics', 'statistics', 'research', 'writing', 'public speaking', 'teamwork', 'leadership', 'problem solving', 'critical thinking', 'analytical skills', 'communication', 'communication', 'microsoft office']",Mid senior,Attorney-Advisor (General)
Collaboration,"['automotive industry', 'parts', 'service advising', 'medical coverage', 'dental coverage', 'vision coverage', 'life insurance', 'disability insurance', 'paid holidays']",Mid senior,Service Advisor (Nucar Honda)
Cyber Security,"['business analyst', 'crm', 'billing', 'clientfacing', 'energy', 'supplier management', 'user stories', 'agile methodologies', 'technical']",Mid senior,Business Analyst CRM/Billing
Problem Solving,"['service advising', 'customer service', 'interpersonal communication', 'problem solving', 'vehicle maintenance', 'high school diploma or ged']",Associate,Service Advisor
Retail & Service,"['customer service', 'communication', 'team player', 'conflict resolution', 'ability to learn', 'professionalism', 'organization', 'vehicle', 'vehicle delivery', 'vacation time', '401k plan', 'paid training']",Mid senior,Toyota Service Advisor / Consultant $65k - $100k
Data & Analytics,"['tax laws', 'corporate strategy', 'transfer pricing', 'pwc professional', 'coaching', 'data analysis', 'automation', 'crm system', 'data visualization', 'pricing strategies', 'tax research', 'tax compliance', 'tax consulting', 'financial accounting', 'public accounting', 'relationship building', 'resource management', 'budgeting', 'billing', 'collection', 'trust building', 'innovation', 'data modeling']",Mid senior,Tax Consulting - International Tax Services - Manager
Retail & Service,"['customer service', 'automotive industry', 'professional appearance', 'inventory management', 'organization', 'pricing']",Mid senior,Parts Advisor
Retail & Service,"['automotive industry', 'automotive parts', 'service advising']",Mid senior,Toyota Service Advisor
Physical Mobility & Material Handling,"['customer relationship management', 'sales', 'computer', 'internet research', 'organization', 'followup', 'valid drivers license', 'standing', 'stooping', 'crawling', 'bending', 'medical benefits', 'dental benefits', 'vision benefits', 'pto', '401k']",Mid senior,Service Advisor
Retail Operations,"['customer service', 'hospitality', 'housekeeping', 'retail', 'sales']",Mid senior,Restaurant Customer Advisor
Retail & Service,"['service advisor', 'customer service', 'motor dealership database software', 'upselling', 'invoicing', 'job cards', 'communication', 'vehicle records', 'automotive', 'estimates']",Mid senior,Service Advisor
Adaptability,"['technology products', 'services', 'furniture', 'planogram', 'price changes', 'customer service', 'cashier', 'stocking', 'restocking', 'down stocking', 'inventory control', 'cleaning', 'asset protection', 'pos register system', 'decision quality', 'patience', 'high school diploma', 'sales', 'customer service', 'selling', 'communication', 'communication', 'adaptability', 'communication', 'communication']",Mid senior,Retail Service Advisor
Leadership,"['psychologist', 'mental health', 'flexible working', 'training', 'promotion', 'diversity']",Mid senior,Consultant Psychologist Criminal Justice and Forensic Services
Retail & Service,"['service advisor', 'customer service', 'relationship management', 'upselling']",Mid senior,Mercedes Benz Service Advisor
Retail Operations,"['customer service', 'retail', 'hospitality', 'consulting', 'business development', 'administration', 'employment services', 'training', 'drivers license', 'criminal history check', 'working with children check', 'career development opportunities']",Mid senior,Employment Consultant (Arabic Speaking) - Fairfield
Finance & Investments,"['automotive service advisor', 'commission', 'bonuses', 'medical insurance', '401k', 'paid vacation', 'holidays', 'career advancement', 'customer service', 'communication', 'computer', 'positive attitude', 'work ethic', 'professional appearance', 'multitasking', 'drivers license', 'insurance', 'high school diploma']",Mid senior,Auto Service Advisors - Ben Davis Ford
MS Office,"['corporate finance', 'financial advisory', 'business analytics', 'program management', 'project management', 'power bi', 'tableau', 'quickbooks', 'netsuite', 'reporting', 'financial analysis', 'excel', 'communication', 'communication', 'team environment', 'accounting', 'finance', 'auditing', 'bachelors degree', 'certified public accountant cpa', 'datadriven insights', 'modeling']",Associate,"Senior Consultant, Accounting and Financial Advisory"
Retail & Service,"['motor dealership database software', 'customer service', 'upselling', 'job cards', 'invoices', 'vehicle records', 'service advisor']",Mid senior,Service Advisor
Sales,"['inventory management', 'supply chain', 'sales', 'procurement', 'business process analysis', 'business process design', 'solution architecture', 'logistics']",Mid senior,hiring for SAP MM/SD/pricing Consultant
Retail & Service,"['work orders', 'otc transactions', 'purchase orders', 'quotes', 'parts sourcing', 'safety procedures', 'high school diploma or ged', 'communication', 'cashier', 'customer service', 'flexible work hours', 'drivers license', 'medical insurance', 'dental insurance', 'vision insurance', 'life insurance', '401k with company match', 'paid vacation and holidays', 'tuition reimbursement', 'onsite meal discounts']",Mid senior,Truck Service Advisor I
Collaboration,"['legal counsel', 'juris doctor degree', 'fastpaced environment']",Mid senior,Intellectual Property Strategy Counsel
Finance & Investments,"['recruitment', 'construction', 'b2b sales', 'cold calling', 'target driven', 'relationship building', 'driven', 'confident', 'rapport building']",Mid senior,Recruitment Consultant - US Construction & Real Estate
Attention to Detail,"['customer service', 'hospitality', 'food safety', 'housekeeping', 'teamwork', 'communication', 'time management', 'problem solving', 'patience', 'enthusiasm', 'attention to detail', 'willingness to learn', 'physical stamina']",Mid senior,Restaurant Customer Advisor
Cyber Security,"['structural engineering', 'civil engineering', 'architecture', 'investigations', 'testing', 'design', 'peer review', 'construction administration', 'technical analysis', '401k match']",Mid senior,Building Envelope Consultant
Collaboration,"['website design', 'web development', 'user experience design', 'user interface design', 'frontend development', 'responsive design', 'content management', 'visual design', 'wix', 'html', 'css', 'javascript', 'seo', 'photography', 'graphic design', 'illustration', 'remote work']",Mid senior,Volunteer Website Design Consultant for Pup Starz Rescue
MS Office,"['accounting', 'gaap', 'fixed assets', 'financial reporting', 'policies and procedures', 'excel', 'financial statements']",Mid senior,"Accountant-Onsite(Consultant must live close to Ocoee, FL)"
Communication,"['tax preparation', 'tax audit support', 'tax planning', 'communication', 'fastpaced environment', 'cpa certification', 'business tax returns', 'medical coverage', '401k retirement savings plan', 'employee stock purchase plan', 'tax prep benefit', 'flexibleremote opportunities', 'equal opportunity employer']",Mid senior,Block Advisors Tax Advisor
Retail & Service,"['automotive repair', 'customer service', 'communication', 'computer', 'scheduling', 'team player', 'troubleshooting', 'problem solving', 'high school diploma', 'drivers license', 'valid drivers license', 'good driving record']",Mid senior,Auto Service Advisors - City Auto Group
Problem Solving,"['power platform', 'business processes', 'agile methodologies', 'problem solving', 'functional specifications', 'crossfunctional teams', 'testing', 'user training', 'client relations', 'sales support', 'business analysis', 'interpersonal communication']",Associate,Dynamics 365 and Power Platform Functional Consultant
Retail Operations,"['trade', 'retail', 'customer service', 'sales', 'stock control', 'selling']",Mid senior,Parts Advisor
Project Management,"['marketing', 'sales', 'valid drivers license', 'communication', 'management', 'leadership', 'vision', 'project management']",Mid senior,Seed Advisor
Data & Analytics,"['investment management', 'equity', 'diversity', 'inclusivity', 'asset allocation', 'equity', 'portfolio management', 'operations', 'efficiency', 'business analysis', 'technical solutions', 'requirements analysis', 'design', 'deployment', 'support', 'derivatives', 'client focus', 'relationship management', 'business analysis', 'quantitative analysis', 'sql', 'communication', 'communication', 'fastpaced environment']",Mid senior,Calypso Business Analyst
Retail Operations,"['retail', 'sales', 'client relationship management', 'housekeeping', 'customer service', 'business acumen', 'entrepreneurial spirit', 'communication', 'team player', 'diversity', 'inclusion']",Mid senior,Beauty Advisor Bloomingdales 1
Teamwork,"['parts advisor', 'teamwork', 'service', 'customer service', 'sales', 'inventory management', 'order processing', 'communication', 'cash register operation', 'computer literacy', 'customer service', 'high school diploma', 'medical insurance', 'dental insurance', 'vision insurance', 'life insurance', 'disability insurance', 'paid vacation', 'paid holidays', '401k with matching', 'employee assistance program', 'employee discount']",Mid senior,Parts Advisor
Project Management,['sustainability'],Mid senior,"Sustainability/Building Physics Consultant in Bristol, UK"
Retail & Service,"['customer service', 'troubleshooting', 'documentation', 'knowledge management', 'communication', 'multitasking', 'professionalism', 'technical', '401k', 'health insurance', 'dental insurance', 'vision insurance']",Mid senior,Service Advisor Ford Jacksonville
Negotiation,"['screening', 'interviewing', 'relationship building', 'negotiation', 'communication', 'construction industry', 'problem solving', 'time management', 'data analysis', 'microsoft office']",Mid senior,Senior/Recruitment Consultant - Construction
Retail & Service,"['mitigation', 'repair', 'customer service', 'communication', 'empathy', 'windows', 'workload management', 'uk driving licence']",Mid senior,Building Consultants
Teamwork,"['customer service', 'communication', 'teamwork']",Mid senior,Service Advisor
Attention to Detail,"['communication', 'organization', 'energy', 'enthusiasm', 'attention to detail', 'sales', 'customer service', 'relationshipbuilding', 'integrity', 'professionalism']",Mid senior,Sales Consultant
Retail & Service,"['dms system', 'customer focused']",Mid senior,Service Advisor
Analytical Thinking,"['decision making', 'active listening', 'public speaking', 'presentation', 'communication', 'communication', 'critical thinking', 'analytical skills', 'time management', 'prioritization', 'security']",Mid senior,Vetting Medical Advisor (18mth FTA) (UKSV)
Business Development & Customer Acquisition,"['accounting', 'finance', 'cpa', 'tax', 'audit', 'financial reporting', 'technical accounting', 'tax accounting', 'financial analysis', 'budgeting', 'forecasting', 'strong communication', 'presentation']",Associate,Senior Accountant/Associate – Real Estate advisory
Communication,"['service advising', 'scheduling', 'vehicle inspection', 'customer education', 'customer followup', 'payment processing', 'test driving', 'communication', 'communication', 'computer proficiency', 'gmc']",Mid senior,Service Advisor
Formal Qualifications & Degrees,"['tax preparation', 'tax audit support', 'tax planning', 'sales and marketing', 'accounting', 'cpa certification', 'business tax returns', 'continuing education', 'bachelors degree']",Mid senior,Block Advisors Tax Advisor
Teamwork,"['marketing', 'project management', 'crossfunctional collaboration', 'email marketing', 'sales support', 'risk management', 'prioritization', 'team management', 'english language proficiency', 'communication', 'powerpoint', 'microsoft office applications', 'decision making', 'problem solving', 'presentation', 'time management', 'resource management', 'creative thinking', 'strategic thinking', 'teamwork', 'customer focus', 'relationship building', 'marketing', 'bachelors degree']",Mid senior,"Senior Manager, Marketing & Creative Strategy"
Analytical Thinking,"['service advisor', 'compliance', 'work orders']",Mid senior,"Service Advisor (Truck Shop) in Pflugerville, TX, USA"
Collaboration,"['copywriting', 'editing', 'grant writing', 'media outreach']",Mid senior,Volunteer Copy Writing/Editing Consultant for Creative Visions Foundation
Cyber Security,"['sql', 'scheduling', 'technical design', 'configuration', 'development', 'business process', 'data', 'technical', 'information security']",Mid senior,Endur Consultant & Technical Lead
Cyber Security,"['industrial relations', 'advising', 'policies']",Mid senior,Senior HR Advisor (00008057)
Project Management,"['sql', 'investment management', 'derivatives', 'business analysis', 'client relationship management', 'project management', 'risk management', 'quantitative analysis', 'programming', 'equity', 'portfolio management', 'operations']",Mid senior,Calypso Business Analyst
Formal Qualifications & Degrees,"['security architecture', 'incident management', 'jenkins', 'jira', 'servicenow', 'terraform', 'services', 'standards', 'risk', 'information security', 'automation', 'communication', 'presentation', 'organization', 'bachelors degree', 'business management', 'computer science', 'electrical engineering', 'information management', 'program management', 'cisa', 'cissp', 'solutions', 'services', 'health and wellbeing', 'paid time off', 'equal opportunity employer']",Associate,Consulting Solutions Architect - Security Operations
Problem Solving,"['customer service', 'communication', 'problem solving', 'active listening', 'drivers license']",Mid senior,Service Advisor
Retail & Service,"['service advisor', 'base salary']",Mid senior,Service Advisor
Attention to Detail,"['customer service', 'multitasking', 'attention to detail', 'it', 'administrative', 'pressure handling', 'teamwork']",Mid senior,Customer Service Advisor
Attention to Detail,"['customer service', 'fastpaced environment', 'computer', 'microsoft office', 'multitasking', 'time management', 'communication', 'problem solving', 'ability to work under pressure', 'attention to detail', 'proactive attitude', 'willingness to learn', 'career progression']",Mid senior,Customer Service Advisor
Retail Operations,"['customer service', 'stock management', 'communication', 'computer literacy', 'parts ordering', 'invoicing', 'retail']",Mid senior,Parts Advisor
Retail & Service,"['customer service', 'retail sales', 'fastpaced work environment', 'organization', 'time management', 'multitasking', 'detailoriented', 'professional appearance', 'strong work ethic', 'high school diploma or equivalent']",Mid senior,Parts Consultant
Retail & Service,"['inventory management', 'housekeeping', 'oral and written communication', 'customer service', 'team player', 'customer focus', 'integrity']",Mid senior,Parts Advisor
MS Office,"['sales', 'leasing', 'customer service', 'communication', 'organization', 'multitasking', 'phone', 'typing', 'reliable transportation', 'sales', 'microsoft office', 'property management software', 'social media marketing', 'fair housing laws', 'confidentiality']",Mid senior,Leasing and Marketing Consultant - The Pointe at Neptune
Negotiation,"['iam', 'penetration testing', 'cissp', 'cisa', 'microsoft', 'training', 'communication', 'relationship building', 'negotiation', 'leadership', 'research', 'problem solving', 'presentation', 'cloud', 'analytics']",Mid senior,Stratascale Principal Security Consultant - Identity & Zero Trust
Data & Analytics,"['data analysis', 'accounting', 'finance', 'management information systems', 'tax research', 'tax planning', 'data mining', 'project management', 'organization', 'team leadership', 'willingness to travel', 'continuous learning', 'transformative leadership', 'diverse and inclusive culture']",Mid senior,National Tax - Federal Tax Advisory - Senior
Project Management,"['sales', 'communication', 'client relationship management', 'sales methodology', 'objection handling', 'project management', 'financial analysis', 'target setting', 'growth mindset', 'professional development', 'leadership', 'coaching', 'consulting']",Mid senior,Sales Consultant - TX
Retail & Service,"['customer service', 'complaint handling', 'communication']",Mid senior,Parts Advisor (HGV)
Retail & Service,"['service advisor', 'communication', 'process management', 'data management', 'customer service', 'automotive industry']",Mid senior,Service Advisor
Collaboration,"['customer service', 'communication', 'problem solving', 'teamwork', 'collaboration', 'crm software', 'multitasking', 'prioritization']",Mid senior,Customer Service Advisor
Retail & Service,"['customer service', 'automotive repair', 'vehicle inspection', 'test drives', 'repair orders', 'estimates', 'customer relations', 'warranty', 'costing', 'vehicle records', 'communication']",Mid senior,Service Advisor Specialist
Teamwork,"['automotive parts', 'customer service', 'teamwork', 'time management', 'communication', 'problem solving']",Mid senior,Parts Advisor
Physical Mobility & Material Handling,"['customer service', 'sales', 'automotive repair', 'mathematical concepts', 'communication', 'physical fitness', 'lifting', 'carrying', 'walking', 'reaching', 'bending', 'stooping', 'kneeling', 'twisting', 'climbing', 'telecommunications', 'computer literacy', 'presentation', 'visual acuity', 'driving']",Mid senior,Automotive Customer Service Advisor
Leadership,"['consultant psychiatrist', 'psychiatry', 'mental health', 'gmc registration', 'specialist register', 'flexible working', 'dbs check', 'equal opportunities employer']",Mid senior,Consultant Psychiatrist in Community Forensic Psychiatry
Retail & Service,"['sales', 'customer service', 'communication', 'territory management', 'travel', 'drivers license']",Mid senior,Heavy Equipment Parts & Service Advisor
Retail & Service,"['customer service', 'computer literacy', 'organization', 'filing', 'paperwork', 'administrative', 'email', 'telephone']",Mid senior,Service Advisor (Automotive)
Adaptability,"['customer service', 'organization', 'multitasking', 'time management', 'adaptability', 'ccc one', 'mitchell', 'audatex', 'competitive pay', '401k with company match', 'medical insurance', 'vision insurance', 'dental insurance']",Associate,Service Advisor
Formal Qualifications & Degrees,"['aws', 'azure', 'iam', 'sdlc', 'documentation', 'debugging', 'problem analysis', 'team collaboration', 'initiative', 'creativity', 'bachelors degree']",Mid senior,"SailPoint IIQ Developer, Managing Consultant"
Problem Solving,"['hr', 'hris', 'payroll', 'absence management', 'recruitment', 'health and safety', 'cipd level 5', 'manufacturing', 'communication', 'planning', 'problem solving', 'proactiveness']",Mid senior,Human Resource Advisor
Sales,"['sales', 'travel', 'flexible hours', 'valid drivers license', 'budget management']",Mid senior,Heavy Equipment Parts & Service Advisor
Problem Solving,"['service advisor', 'customer relationship management', 'sales', 'communication', 'problem solving']",Mid senior,Mercedes Benz Service Advisor
Retail & Service,"['customer service', 'troubleshooting', 'communication', 'multitasking', 'technical', 'service advisor', 'sales', 'detailoriented', 'documentation', '401k', 'health insurance', 'dental insurance', 'vision insurance']",Mid senior,Service Advisor Crain Ford LR
Communication,"['care coordination', 'implementation', 'communication', 'training programs', 'adult learning principles']",Associate,Nurse Practice Advisor
